абы где	where
в некотором отношении	in some respect
в немилости	out of favor
в нерешительности	in indecision
в нескольких шагах	a few steps
в нескольких шагах	a few steps away
в нескольких шагах	steps away
в неурочное время	at an inopportune time
в неурочный час	at an unusual hour
в новинку	a novelty
в новом ракурсе	in a new perspective
в ногах	in the legs
в ногах	in the feet
в ногах	in your legs
в ноги	at the feet
в ногу	in the foot
в ногу	in the leg
в ногу	in step
в норме	normally
в ночь	on the night
в ночь	the night
в ночь	in the night
в ночь	on the night of
в оба конца	round-trip
в оба конца	round trip
в обиде на	it amiss
в обнимку	in an embrace
в обрез	to spare
в обтяжку	skintight
в обтяжку	skin-tight
в обход	bypassing
в обход	to bypass
в обход	in circumvention
в обход	bypassing the
в общей массе	in the total mass
в обычае	the custom
в огне	in the fire
в огне	on fire
в огне	in fire
в огне	in flames
в один голос	with one voice
в один голос	in one voice
в один миг	in an instant
в один миг	in one moment
в один момент	at one point
в один момент	at one moment
в один момент	in an instant
в один прекрасный вечер	one fine evening
в один прекрасный день	one day
в один прекрасный момент	at one point
в один присест	in one sitting
в один присест	at one sitting
в одиночку	alone
в одни руки	in one hand
в одних руках	in the same hands
в одно мгновение	in an instant
в одно мгновение	in a moment
в одно прекрасное время	one day, the
в одно прекрасное утро	one fine morning
в одно слово	into one word
в одном лице	in one person
в одном лице	rolled into one
в одночасье	overnight
в одну минуту	in one minute
в одну секунду	in one second
в основном	mainly
в основном	mostly
в основном	largely
в основном	primarily
в основном	basically
в особенности	in particular
в ответ	in response
в отдалении	in the distance
в отдельности	individually
в отключке	sedated
в открытую	into an open
в открытую	into the open
в отместку	in retaliation
в отместку	in revenge
в отместку	in reprisal
в отъезде	out of town
в охапку	ear off
в охапку	their ear off
в охоту	in the hunt
в очередь	in line
в паре	paired
в паре	in a pair
в паре	in a couple
в первое время	at first
в первую голову	in the first place
в первую линию	the first line
в первую минуту	in the first minute
в первую минуту	in the first minute of
в первую очередь	primarily
в первую очередь	in the first place
в первую очередь	first of all
в перспективе	in the future
в перспективе	in perspective
в перспективе	in the long term
в пику	in defiance
в подбор	in the selection of
в подтверждение	in confirmation of
в пожарном порядке	in haste
в полной мере	to fully
в полном смысле	in the full sense
в полном смысле	in the full sense of
в полном смысле	in every sense
в полном смысле слова	in the full sense of the word
в полный рост	in full growth
в полоску	striped
в полосочку	striped
в поре	in the pore
в поре	into the pore
в пору	at the time of
в порядке	in the manner
в порядке	okay
в порядке вещей	in the order of things
в последнее время	lately
в последнее время	recently
в последнюю очередь	least
в последующем	in the subsequent
в поте лица	hard
в праве	in the right
в претензии	in the claim
в придачу	to boot
в природе вещей	in the nature of things
в прошлом	last
в прошлом	in the past
в пух и прах	to smithereens
в пылу сражения	in the heat of battle
в рабочем порядке	in working order
в разгаре	in the midst of
в разгаре	in the midst of a
в разгаре	at the height of
в разгоне	in acceleration
в рассрочку	in installments
в рассрочку	in instalments
в рассрочку	by installments
в расход	the
в расчете	in the calculation
в реале	in real life
в результате	as a result
в результате	as a result of
в розницу	at retail
в руках	in the hands
в руках	in the hands of
в руки	into the hands
в руки	into the hands of
в руки	in the hands
в руки	in the hands of
в самую пору	fitted perfectly
в самый раз	just right
в свое время	at one time
в свое удовольствие	for fun
в свой час	for the hour
в свой черед	in our turn
в свою очередь	in turn
в сердцах	in the hearts
в сердцах	in the hearts of
в сидячем положении	in a sitting position
в сидячем положении	in a seated position
в складчину	together
в скором времени	will soon
в слезах	in tears
в случае чего	in which case
в совершенстве	to perfection
в совершенстве	in perfection
в солдаты	into the army
в спокойное русло	into her quiet life
в спокойное русло	s safe to do so
в спокойное русло	s safe to do
в спокойное русло	's safe to do so
в спокойное русло	's safe to do
в сравнении	in comparison
в среднем	on average
в среднем	the average
в среднем	an average of
в срок	on time
в стороне	aside
в стороне	on the sidelines
в стороне	aloof
в сторону	aside
в сторону	in the direction
в сторону	towards the
в стоячем положении	in a standing position
в струнку	into a string
в таком ключе	in this way
в таком разрезе	like this
в такт	to the beat
в такт	to the beat of
в те поры	at the time
в темпе	at a pace
в темпе	at the pace
в тени	in the shadows
в тени	in the shade
в тени	in the shadow of
в тени	in the shadow
в тиши	in the quiet of
в тиши	in the silence of the
в то же время	at the same time
в торец	in the butt end
в тот же час	the same hour
в тот же час	at the same hour
в точности	exactly
в третьем лице	in the third person
в третьем лице	in third person
в ту пору	at that time
в тыл	to the rear
в тыл	to the rear of
в тылу	in the rear
в тылу	in the rear of the
в тылу	in the rear of
в тягость	a burden
в ударе	on a roll
в узде	in check
в узде	at bay
в уме	in the mind
в уме	in your mind
в унисон	in unison
в упор	at point-blank range
в упор	at close range
в упор	point-blank
в упор	point blank
в урочный час	of the skies
в фаворе	in favor
в фас	from the front
в ходу	in use
в целом	in general
в целом	as a whole
в целом	overall
в целом	generally
в целости	intact
в целости и сохранности	safe and sound
в цене	in price
в цене	in value
в цене	in the price
в четырех стенах	within four walls
в четырех стенах	within the four walls
в четырех стенах	in four walls
в чинах	in rank
в шутку	jokingly
в шутку	in jest
в шутку	as a joke
в эту пору	at this time
вверх дном	upside down
вверх дном	upside-down
вверх ногами	upside down
вверх ногами	upside-down
вверх тормашками	upside-down
вдоль и поперек	along and across
вдоль и поперек	the length and breadth
вдоль и поперек	the length and breadth of
верой и правдой	faith and truth
взад и вперед	back and forth
взад и вперед	backwards and forwards
взад-вперед	back and forth
вне времени и пространства	outside of time and space
вне времени и пространства	beyond time and space
вне времени и пространства	outside time and space
вне закона	outlawed
вне закона	outside the law
вне закона	outlaw
вне игры	out of the game
вне игры	out of play
вне игры	offside
вне игры	outside the game
вне конкуренции	out of competition
вне конкуренции	beyond competition
вне конкурса	out of competition
вне конкурса	out of the competition
вне очереди	out of turn
вне себя	outside himself
во веки веков	forever and ever
во веки веков	for ever and ever
во веки веков	for evermore
во весь голос	loudly
во весь опор	front to
во весь рост	the
во весь рот	in all mouth
во времена оны	in days of old made of
во времена оны	in the past, it was a
во время оно	during it
во все времена	at all times
во все глаза	all eyes
во все горло	the
во все концы	to all the ends
во все концы	to all the ends of
во все концы	to the ends
во все уши	all ears
во всей красе	in all its glory
во всей красе	in all their glory
во всей наготе	in all the nakedness
во всей наготе	in all the nakedness of
во всей полноте	in its entirety
во всей своей красе	in all its glory
во всем блеске	in all its glory
во всем своем блеске	in the full glare of day
во всеоружии	fully armed
во всеуслышание	loudly
во всеуслышанье	aloud for
во всеуслышанье	from the housetops
во всех отношениях	in all respects
во всех отношениях	in every way
во всех отношениях	in every respect
во всю глотку	at the tops of their
во всю ширь	in full flow
во главе	led by
во главе	at the head
во главе	headed by
во главе	at the head of
во главу угла	at the forefront
во здравие	with relish
во как	how
во славу	the glory
во славу	for the glory
во славу	to the glory
во славу	the glory of
во сто крат	a hundredfold
во хмелю	in the hop
во цвете лет	of a
во что бы то ни стало	at all costs
во что бы то ни стало	by all means
вокруг да около	around the bush
волею судеб	by the will of fate
волею судьбы	by the will of fate
волею судьбы	by fate
волна за волной	wave after wave
волна за волной	wave after wave of
вольно или невольно	wittingly or unwittingly
вольно или невольно	willingly or unwillingly
вольно или невольно	voluntarily or involuntarily
вооруженным глазом	naked eye
вот так	this is how
вот так	that's how
вот так	that is how
вперед ногами	feet first
время от времени	from time to time
время от времени	occasionally
все время	all the time
все еще	still
все еще	is still
все еще	are still
все равно	anyway
всей душой	all my heart
всем и каждому	anyone and everyone
всем миром	whole world
всем сердцем	with all my heart
всем сердцем	wholeheartedly
всем сердцем	all my heart
всем сердцем	with all your heart
всем сердцем	whole heart
всем скопом	be exterminated summarily by
всем скопом	be exterminated summarily
всем скопом	exterminated summarily by
всем скопом	exterminated summarily
всеми правдами и неправдами	all by hook or by crook
всеми правдами и неправдами	by hook or by crook
всеми силами	by all means
всеми силами	all the forces
всеми фибрами души	with every fiber of my being
всю дорогу	all the way
всю дорогу	the whole way
всю жизнь	lifetime
всю жизнь	all my life
всю жизнь	all his life
всякий раз	every time
всякий раз	each time
высокого мнения	high opinion
высокого мнения	high regard
высокого мнения	high an opinion
высунув язык	finds his sister
высунув язык	finds his sister ’
высунув язык	tongue hanging out
высунув язык	with the tongue hanging out
высунув язык	with their tongues hanging out
высунув язык	your tongue sticking out
где какой	which
где попало	anywhere
где придется	when needed
где только	where only
где угодно	anywhere
гигантскими шагами	giant steps
гигантскими шагами	gigantic strides
гигантскими шагами	with gigantic strides
гигантскими шагами	giant strides
главным образом	mainly
главным образом	mostly
главным образом	primarily
глаза в глаза	eye to eye
год от года	year by year
год от года	from year to year
голова в голову	head-to-head
голова к голове	head-to-head
голова к голове	head to head
голой рукой	bare hand
голыми руками	with his bare hands
голыми руками	bare hands
голыми руками	with bare hands
голыми руками	with their bare hands
голыми руками	with your bare hands
дай боже	god sets
далеко не	far from
дальше некуда	any longer
дверь в дверь	from door to door
денно и нощно	night and day
день в день	to the day
день за день	day for day
день ото дня	day by day
день ото дня	by the day
дешево и сердито	cheap and cheerful
дешево и сердито	cheap and angry
для вида	to the species
для вида	for the species
для вида	for a species
для видимости	for visibility
для виду	ostentatiously
для галочки	for show
для галочки	for a tick
для души	for the soul
для души	to the soul
для затравки	as a taster
для интереса	for interest
для компании	for the company
для компании	for a company
для компании	to the company
для красного словца	nightmare-like
для красоты	for beauty
для красоты	for the beauty of
для мебели	for furniture
для начала	to start
для начала	to begin
для острастки	to frighten
для отвода глаз	a cover
для очистки совести	for clearance of mind
для очистки совести	of scruples of conscience
для очистки совести	to clean up his conscience
для порядка	for an order
для примера	as an example
для пущей важности	affectedly applied to
для пущей важности	applying even greater pressure
для пущей важности	very affectedly applied to
для разнообразия	for a change
для разнообразия	for variety
для разнообразия	for diversity
для ровного счета	for good measure
днем с огнем	in the afternoon with fire
до безобразия	to disgrace
до безумия	to madness
до безумия	to insanity
до бесконечности	to infinity
до бесконечности	ad infinitum
до боли	painfully
до востребования	demand
до второго пришествия	until the second coming
до второго пришествия	until the second coming of
до глубины души	to the core
до глубины сердца	to the very core
до гроба	to the grave
до гробовой доски	to the grave
до дна	to the bottom
до жути	eerily
до звезды	to the star
до звезды	to a star
до капли	to drop
до коликов	gut-bustingly
до кондиции	to the condition
до конца	until the end of
до конца	until the end of the
до конца	by the end of
до конца	to the end
до конца	before the end of
до копейки	to the penny
до костей	to the bone
до костей	to the bones
до крайности	to the extreme
до крайности	to an extreme
до крайности	to extremes
до крови	to the blood
до крови	unto blood
до кучи	fucking
до лучших времен	until better times
до могилы	to the grave
до могилы	to grave
до мозга костей	to the bone
до небес	to the skies
до небес	to the sky
до небес	to the heavens
до невероятности	to extraordinary speeds
до невозможности	impossibly
до некоторых пор	until recently
до неприличия	obscenely
до неузнаваемости	beyond recognition
до обидного	frustratingly
до облака	to cloud
до одури	to the point of madness
до основания	to the ground
до отвала	to satiety
до отказа	to capacity
до победного	to the bitter
до победного	to a victorious
до победного конца	to a victorious conclusion
до победного конца	to the bitter end
до победного конца	to a victorious end
до полусмерти	half to death
до полусмерти	to a pulp
до поры	from time
до поры до времени	for the time
до поры до времени	for the time being
до последнего вздоха	to the last breath
до последнего вздоха	until my last breath
до последнего вздоха	until the last breath
до последнего дыхания	to the last breath
до последнего дыхания	until the last breath
до последнего издыхания	to our last breath
до последнего издыхания	to their last gasp
до последней возможности	to the last moment
до последней капли	to the last drop of
до последней капли	to the last drop
до последней капли	until the last drop of
до последней капли крови	to the last drop of blood
до последней капли крови	until the last drop of blood
до последней копейки	to the last penny
до последней копейки	last penny
до последней черты	to their last bounds
до потери пульса	before losing momentum
до потери сознания	to loss of consciousness
до потери сознания	before losing consciousness
до потопа	before the flood
до предела	to the limit
до пят	to toe
до самой могилы	to my grave
до самой могилы	to my grave that i
до самой могилы	to my grave that
до самой смерти	until his death
до самой смерти	until death
до самой смерти	until her death
до седых волос	to comb gray hair
до седьмого колена	to the seventh generation
до седьмого пота	up a sweat
до седьмого пота	up to the seventh sweat
до сих пор	still
до сих пор	so far
до скончания века	even to the end of the age
до скончания века	until the end of the world
до скончания века	to the end of the age
до скончания века	until the end of time
до слез	to tears
до смерти	to death
до смерти	before his death
до сумасшествия	to madness
до сумасшествия	to insanity
до такой степени	to the point
до такой степени	to such an extent
до такой степени	to such a degree
до тех пор	until the
до тех пор	until then
до тла	to the ground
до того	before
до той поры	until then
до точности	to accuracy
до ужаса	to the horror
до умопомрачения	to insanity
до упада	till you drop
до упада	until they fall
до упора	against the stop
до чего	how
до чертиков	the hell out
до чрезвычайности	how exceedingly
до этого часа	up to that hour
до этого часа	to this hour
дорогой ценой	heavy price
другой раз	another time
другой раз	other time
другой раз	another occasion
душа в душу	in perfect harmony
душой и телом	body and soul
душой и телом	soul and body
единым духом	a single breath
естественным образом	naturally
естественным образом	natural way
естественным путем	natural way
естественным путем	in a natural way
еще и еще	again and again
жесткой рукой	an iron fist
жесткой рукой	with an iron fist
живым духом	living spirit
за бесценок	for a pittance
за бесценок	for a song
за борт	overboard
за бортом	overboard
за бугром	over the hill
за версту	stink to high heaven of
за версту	stink to high heaven
за версту	stink to high
за версту	stink to
за выслугу лет	for long service
за выслугу лет	for years of service
за глаза	for the eyes
за город	for the city
за город	of town
за город	out of town
за городом	outside the city
за городом	out of town
за границей	abroad
за границей	overseas
за границу	abroad
за границу	overseas
за двоих	for two
за десятерых	for ten
за закрытыми дверями	behind closed doors
за кадр	per frame
за кадром	behind the scenes
за кадром	off-screen
за каждым углом	around every corner
за каждым углом	behind every corner
за каким чертом	what the hell
за компанию	for the company
за красивые глаза	for beautiful eyes
за красивые глазки	for beautiful eyes
за наличный расчет	for cash
за ненадобностью	as unnecessary
за один присест	in one sitting
за океаном	across the ocean
за океаном	over the ocean
за пазухой	in his bosom
за пазуху	in his bosom
за полдень	noon
за полночь	after midnight
за полночь	past midnight
за просто так	for nothing
за решеткой	behind bars
за решетку	behind bars
за рубеж	abroad
за рубежом	abroad
за рубежом	overseas
за семью замками	behind seven locks
за семью печатями	behind seven seals
за семью печатями	with seven seals
за скобками	aside
за спасибо	thank you
за спиной	behind his back
за так	for the
за тридевять земель	to distant lands
за тридцать сребреников	for thirty pieces of silver
за тридцать сребреников	for 30 pieces of silver
за упокой	for the repose
за упокой	for the repose of
за упокой души	for the repose of the soul of
за упокой души	for the repose of the soul
за шиворот	by the collar
задним числом	retroactively
задним числом	hindsight
задним числом	in hindsight
задом наперед	backwards
засучив рукава	roll its sleeves up
зимой и летом	in winter and summer
зимой и летом	winter and summer
зиму и лето	winter and summer
и так и сяк	and, here and there
из вежливости	out of politeness
из глубины веков	from the depths of centuries
из глубины веков	from the depths of the centuries
из года в год	from year to year
из года в год	year after year
из гостей	of the guests
из другого теста	from another test
из другого теста	of different stuff
из другой оперы	from another opera
из интереса	out of interest
из конца в конец	from end to end
из края в край	from border to border
из любви к искусству	the love of art
из любопытства	out of curiosity
из любопытства	of curiosity
из одного теста	from the same cloth
из первых рук	first-hand
из первых рук	firsthand
из первых рук	first hand
из первых уст	first-hand
из первых уст	firsthand
из поколения в поколение	from generation to generation
из поколения в поколение	on from generation to generation
из поколения в поколение	from one generation to the next
из принципа	from the principle
из принципа	from the principle of
из принципа	on principle
из рук в руки	from hand to hand
из рук вон	out of the
из ряда вон	out of the
из спортивного интереса	for sport
из угла в угол	from corner to corner
из уст в уста	word of mouth
из уст в уста	from mouth to mouth
из уст в уста	by word of mouth
из уст в уста	word-of-mouth
из часа в час	from hour to hour
из часа в час	and hour to hour
из-за бугра	from across the pond
из-за границы	from abroad
из-за границы	from overseas
из-за рубежа	from abroad
из-за рубежа	from overseas
из-под палки	under the lash
из-под полы	under the counter
из-под полы	from under the floor
из-под прилавка	under the table
изо дня в день	from day to day
изо дня в день	day by day
изо дня в день	day after day
изо дня в день	day in and day
изо дня в день	day to day
иной раз	sometimes
испокон веков	from time immemorial
к глубокому сожалению	unfortunately
к дьяволу	to the devil
к дьяволу	for the devil
к лицу	to face
к месту	to the place
к месту	to the place of
к месту	to the site
к моему стыду	to my shame
к несчастью	unfortunately
к ногам	at the feet
к ногам	to the legs
к ногам	to the feet
к ногам	at the feet of
к ногам	the feet of
к сожалению	unfortunately
к сожалению	sadly
к стыду	to shame
к стыду своему	to my shame
к счастью	fortunately
к счастью	luckily
к счастью	thankfully
к чему	why
к чертовой бабушке	to hell
к чертовой матери	to hell
к черту	to hell
к черту	to hell with
к чертям	to hell
каждый раз	every time
каждый раз	each time
как бараны	as rams
как без рук	as without hands
как без рук	like without hands
как белка в колесе	like a squirrel in a wheel
как белый человек	as a white male
как белый человек	as a white person
как белый человек	like a white man
как белый человек	like the white man
как бог на душу положит	god gave them the law, god
как бог на душу положит	god's displeasure
как бог на душу положит	as god puts their hearts on
как бог на душу положит	as god will allow
как бог на душу положит	as their hearts desire
как бог на душу положит	by how often god expresses himself as
как бог на душу положит	by how often god expresses himself
как бог на душу положит	dance as their hearts desire
как бог на душу положит	like god put per capita
как всегда	as always
как всегда	as usual
как грязи	like dirt
как грязи	like garbage
как дважды два	as two times two
как две капли	like two drops of
как две капли	as two drops of
как две капли воды	like two drops of water
как две капли воды	as two drops of water
как душе угодно	as you please
как есть	as is
как есть	as there are
как за каменной стеной	like a stone wall
как за каменной стеной	like behind a stone wall
как заведенный	around 11pm
как заведенный	like a persistent
как завороженный	as if spellbound
как игрушка	like a toy
как игрушка	as a toy
как когда	as when
как когда	like when
как кому	the
как максимум	as a maximum
как минимум	at least
как можно лучше	best
как можно скорее	soon as possible
как можно скорее	as soon as possible
как можно скорее	quickly as possible
как можно скорей	as soon as possible
как можно скорей	soon as possible
как на дрожжах	by leaps and bounds
как на духу	and believe me when i
как на духу	and believe me when
как на духу	as in confessionary
как на духу	by their spirit
как на духу	clean to reporters
как на ладони	at a glance
как на подбор	as a selection
как назло	as luck would
как нарочно	as if on purpose
как небо от земли	as heaven from earth
как нельзя	could not be
как нельзя лучше	could not be better
как ни в чем не бывало	as if nothing had happened
как никогда	than ever
как никогда	as never
как никогда	than ever before
как никогда	like never
как никогда	more than ever
как никогда	as ever
как никогда	as never before
как обычно	as usual
как обычно	as always
как по команде	as if on command
как по команде	as if on cue
как по маслу	like clockwork
как по нотам	as per notes
как по нотам	off the impressive sequence without a hitch
как по нотам	off the sequence without a hitch
как по нотам	pulled off the sequence without a hitch
как по нотам	the impressive sequence without a hitch
как по нотам	the sequence without a hitch
как по писаному	dramatized
как положено	as expected
как попало	any old way
как прежде	as before
как придется	as necessary
как свои пять пальцев	as our five fingers
как свои пять пальцев	like my five fingers
как скоро	how soon
как скоро	how soon will
как след	as a trace
как след	like the traces of a
как след	like the traces of
как след	like the traces
как следует	as follows
как снег на голову	as snow on the head
как снежный ком	like a snowball
как собака	like a dog
как собака	as a dog
как спичка	like a match
как трава	like grass
как трава	as grass
как угодно	whatever
как часы	like a clock
как часы	like clockwork
как часы	as a clock
как черепаха	like a turtle
как черепаха	like a tortoise
как-то раз	one day
каким образом	how the
какого дьявола	what the hell
какого лешего	what the heck are
какого черта	what the hell
какого черта	what the fuck
какого черта	why the hell
капля за каплей	drop by drop
кардинальным образом	radically
ко времени	by the time of
ко времени	to the time
ко всем чертям	the hell out
когда как	while
когда придется	when you have to
когда угодно	anytime
кой черт	who the hell would
кому как	how
коренным образом	fundamentally
коренным образом	radically
короткое время	short time
короткое время	briefly
краем глаза	out of the corner of my eye
краем уха	vaguely
краешком глаза	corner of his eye
красной нитью	red thread
круглый год	all year round
круглый год	year-round
круглый год	year round
круглый год	throughout the year
круглый год	all year
кто во что горазд	someone in that much
кто где	where
кто как	how to
кто куда	directions
куда глаза глядят	aimlessly
куда как	far
куда ни попадя	general direction, the subject
куда ни попадя	general direction, the
куда ни попадя	in their general direction, the subject
куда ни попадя	in their general direction, the
куда ни попадя	in their general direction
куда ни попадя	into wherever they want
куда попало	anywhere
куда угодно	anywhere
легче всего	easiest to
легче всего	most easily
лицом к	face to
лицом к лицу	face to face
лицом к лицу	face-to-face
лишь едва	barely
лоб в лоб	head-on
лучше всего	best
лучше всего	is best
лучше всего	best to
любой ценой	at all costs
любой ценой	at any cost
любой ценой	at any price
мало где	few places
мало ли	little did
мало того	not only
мало-помалу	little by little
малой кровью	little blood
малой кровью	with little blood
меж тем	meanwhile
между делом	between
между тем	meanwhile
менее всего	least of all
меньше всего	least of all
минута в минуту	minute by minute
минута в минуту	minute for minute
много-много	many, many
на авось	at random
на автомате	on the machine
на автопилоте	on autopilot
на автопилоте	on auto-pilot
на бегу	on the run
на беду	to trouble
на божий свет	to light the
на босу ногу	on bare feet
на века	for ages
на века	for the ages
на веки веков	for always and always and always
на веки вечные	for ever and ever
на веки вечные	for all eternity
на вес	weight in
на вес	on weight
на вес	worth its weight in
на вес	its weight in
на вес золота	weight in gold
на вес золота	worth its weight in gold
на вес золота	its weight in gold
на вес золота	their weight in gold
на вес золота	worth their weight in gold
на весу	on weight
на взводе	on edge
на вид	in appearance
на виду	in sight
на виду	in plain sight
на виду	in full view
на вкус	to taste
на вкус	to the taste
на воздух	into the air
на воздухе	in air
на возраст	for age
на возрасте	on age
на возрасте	on the age
на воле	on the will
на волоске от	on the verge of
на волосок от	on the verge of
на вольные хлеба	for free bread
на волю	into the wild
на волю	on the will
на время	for a while
на все лады	in every way
на все про все	for everything
на всех и вся	at everyone and everything
на всех парах	full steam ahead
на всех парах	full steam
на всех парах	on all cylinders
на всех парусах	in full sail
на всех углах	at all corners
на вскидку	ignoring air resistance
на всю катушку	on all cylinders
на всякий пожарный	just in
на всякий случай	just in case
на вторых ролях	on the sidelines
на выбор	to choose
на выбор	to choose from
на выборку	per sample
на выдержку	at the shutter speed
на вырост	for growth
на выручку	to the rescue
на выручку	to the rescue of
на высоте положения	to the occasion
на выучку	learning from
на выходах	at the exits
на выходах	at the outputs
на выходе	at the exit
на выходе	at the output
на выходе	the output
на выходе	at the outlet
на глаз	by eye
на глаз	to eye
на глаз	on the eye
на глаз	to the eye
на глаза	on the eyes
на глаза	the eye of
на глазах	in front of
